[10:42:05] [INFO] Skipping recipe pneumaticcraft:pneumaticcraft_fuels/hydrogen, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_conversion/l2hostility/chaotic_bee, conditions not met
[10:42:05] [INFO] Skipping recipe mekanism:compat/biomesoplenty/sawing/chest_boat/fir, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:thermal/machine/smelter/soul_infused_bee, conditions not met
[10:42:05] [INFO] Skipping recipe theurgy:reformation/alchemical_sulfur_palm_from_alchemical_sulfurs_logs_abundant, conditions not met
[10:42:05] [INFO] Skipping recipe mekanism:compat/biomesoplenty/biofuel/yellow_maple_leaves, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bottler/builders_tea, conditions not met
[10:42:05] [INFO] Skipping recipe theurgy:incubation/logs_timewood_from_alchemical_sulfur_timewood, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagradditions:gaia_spirit_crux, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:centrifuge/gems/honeycomb_tektite, conditions not met
[10:42:05] [INFO] Skipping recipe mekanism:compat/biomesoplenty/biofuel/glowshroom_block, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/chemlib/holmium_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:astralsorcery/rock_crystal_bee, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagriculture:seed/crafting/elementium, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_conversion/chemlib/iodine_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_conversion/elementalcraft/inert_crystal_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:thermal/shaped/blaze_bee_to_blizz_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:alchemistry/combiner/tennessine_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/chemlib/oxygen_bee, conditions not met
[10:42:05] [INFO] Skipping recipe croptopia:botanypots/almond, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/gems/green_sapphire_bee, conditions not met
[10:42:05] [INFO] Skipping recipe hostilenetworks:living_matter/twilight/liveroot, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_produce/chemlib/radium_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:thermal/machine/smelter/dragonsteel_bee, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:alchemistry/combiner/terbium_bee, conditions not met
[10:42:05] [INFO] Skipping recipe theurgy:liquefaction/alchemical_sulfur_cinnabar_from_ingots_cinnabar, conditions not met
[10:42:05] [INFO] Skipping recipe productivebees:bee_breeding/gems/cinnabar_bee, conditions not met
[10:42:05] [INFO] Skipping recipe farmersdelight:integration/create/milling/wild_tomatoes, conditions not met
[10:42:05] [INFO] Skipping recipe mysticalagriculture:seed/crafting/flux_infused_ingot, conditions not met
[10:42:05] [INFO] Skipping recipe allthemodium:melting/salvage/vibranium/vibranium_from_shovel, conditions not met
